# voltage[V], gain[#e], err_gain[#e], SNR, err_SNR
8.000000000000000000e+02,1.356039216723066755e+06,1.478857278200679139e+04,1.962546955407125315e+00,3.770586479300998967e-02
8.250000000000000000e+02,1.599504242318269797e+06,1.855267694180210310e+04,1.834089586421650431e+00,3.812722214782340857e-02
8.500000000000000000e+02,2.038216165019086795e+06,2.230013611121932627e+04,1.987410159704586121e+00,3.877398026373177209e-02
8.750000000000000000e+02,2.369116588519627228e+06,3.424471104350472160e+04,1.861546348458344546e+00,4.705691739691847397e-02
9.000000000000000000e+02,3.118867386789727956e+06,9.149258183390845079e+04,1.773984989003343227e+00,8.338534125328278535e-02
