# voltage[V], gain[#e], err_gain[#e], SNR, err_SNR
8.000000000000000000e+02,1.296550205171791138e+06,2.426890100203416296e+04,2.039958360136476134e+00,7.592639898767036821e-02
8.250000000000000000e+02,1.650767821206224849e+06,3.862768831017072080e+04,2.030700719299182389e+00,7.643448409471467753e-02
8.500000000000000000e+02,2.489941837003489025e+06,7.420535142199514667e+04,2.001233844763863345e+00,9.587183364963257348e-02
8.750000000000000000e+02,3.052865825874276459e+06,4.848276680595821381e+04,2.219251896143425107e+00,6.918118752711995001e-02
9.000000000000000000e+02,3.877644697628506925e+06,1.172023176344390085e+05,2.090028213902665577e+00,1.091529484109367842e-01
